reason_for_recall,classification
GM Manufacturing is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
Salmon meals may contain undeclared wheat,moderate
"Greenies, LLC dba Terra Spice Co. decided to conduct a voluntary recall during an FDA inspection  (inspection dates 3/24, 26/2015).  Label lists cheddar and sour cream but does not specifically declare milk.",moderate
Indication of product spoilage,moderate
Foreign material in product.  Pieces of cleaning brush bristles found in the product,moderate
"Stagno's Bakery, Inc. initiated a recall on 05/24/2019 of wholesale frozen bagel dough / bulk  to one direct account because the product is potentially contaminated with E. Coli  .",major
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
Certified Smoked Fish is Cold Smoked Salmon because they have the potential to be contaminated with Listeria monocytogenes.,severe
"Silver Lake Cookie Co., Inc. recalls Easter Egg Cookie due to the presence of undeclared egg.",major
"All ice cream products, Chocolate Chip Cookie Dough, Cookie Two Step ice Cream, Krazy Kookie Dough, and Blue Monster, containing cookie dough supplied by Aspen Hills, Inc., due to the potential for them to contain Listeria monocytogenes.",major
An ingredient used in the manufacture of finished product was discovered to have been grown using unapproved herbicide.,moderate
Potential Listeria monocytogenes,severe
Products may be contaminated with  Listeria monocytogenes.,severe
GM Manufacturing is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
The firm failed to include allergens of soy and anchovy on the labels of this sauce.,moderate
Product potentially contains undeclared almonds.,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Product may contain undeclared milk,moderate
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Product may contain undeclared milk.,moderate
Potentially contaminated with Listeria monocytogenes,severe
Recalled products were manufactured with an ingredient that is potentially contaminated with Salmonella.,major
Chocolate High Protein Shake Ice Cream Mix is being recalled due to the presence of Listeria monocytogenes.,severe
Chocolate may contain plastic pieces,moderate
Undeclared Wheat.,moderate
Products held under insanitary conditions,major
"Contamination with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain and diarrhea, Listeria infection can cause miscarriages and stillbirt",severe
Potential contamination with Salmonella,major
State of Massachusetts sampled Enoki Mushrooms and found them to be positive for Listeria monocytogenes.,severe
Healthy Mama Brand dietary supplements contain undeclared milk.,moderate
The recalled product contains undeclared peanut butter.,moderate
Wysong Corporation is conducting a voluntary recall of multiple varieties of Protein Key brand protein meals due to undeclared allergen soy.,major
Undeclared soy in candy,moderate
Canned spinach is being recalled due to the potential to contain boiled peanuts instead of spinach.,major
The sandwiches were made with green leaf and were recalled due to a potential to be contaminated with E. Coli O157:H7.,major
Undeclared allergen; egg.,moderate
"The Manischewitz Company, Newark, NJ is recalling various Tam Tam Products due to rancidity.",major
"Undeclared peanuts, almonds and milk",moderate
Products have the potential to be contaminated with Salmonella.,major
J&J Distributing Company reported that a small amount of shred carrots were contaminated with metal pieces. The shred carrots were used as ingredient for other RTE items.,severe
The sandwiches were made with green leaf and were recalled due to a potential to be contaminated with E. Coli O157:H7.,major
Undeclared Egg.,moderate
undeclared milk and egg in Market Pantry brand white fudge coated Animal Cookies,moderate
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
Wilderness Family Naturals Organic Coconut Milk Powder and other products that contain this as an ingredient are being recalled  due to potential milk contamination.,major
Products have the potential to be contaminated with Salmonella.,major
Product may be contaminated with Listeria monocytogenes.,severe
"Contamination with Listeria monocytogenes, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain and diarrhea, Listeria infection can cause miscarriages and stillbirt",severe
